result,gf,ga,xg_x,xga,poss,sh,sot,dist,xg_y,npxg,g-xg,sota,saves,save%,att (gk),thr,psxg,psxg+/-,ast,xag,xa,kp,1/3,ppa,crspa,prgp,attempted passes,completed passes,corner kicks,shots blocked,tkl+int,err,mid 3rd,att pen,att 3rd,fls,fld,off,season,team_Aston Villa,team_Bournemouth,team_Brentford,team_Brighton and Hove Albion,team_Burnley,team_Chelsea,team_Crystal Palace,team_Everton,team_Fulham,team_Leeds United,team_Leicester City,team_Liverpool,team_Luton Town,team_Manchester City,team_Manchester United,team_Newcastle United,team_Nottingham Forest,team_Sheffield United,team_Southampton,team_Tottenham Hotspur,team_West Bromwich Albion,team_West Ham United,team_Wolverhampton Wanderers,opponent_Aston Villa,opponent_Bournemouth,opponent_Brentford,opponent_Brighton,opponent_Burnley,opponent_Chelsea,opponent_Crystal Palace,opponent_Everton,opponent_Fulham,opponent_Leeds United,opponent_Leicester City,opponent_Liverpool,opponent_Luton Town,opponent_Manchester City,opponent_Manchester Utd,opponent_Newcastle Utd,opponent_Nott'ham Forest,opponent_Sheffield Utd,opponent_Southampton,opponent_Tottenham,opponent_West Brom,opponent_West Ham,opponent_Wolves
1,3.0,0.0,1.9,0.1,54.0,13.0,5.0,14.1,1.9,1.9,1.1,2.0,2.0,100.0,29.0,3.0,0.1,0.1,2,0.8,1.0,8.0,38.0,11.0,1.0,47.0,668.0,589.0,3.0,1.0,30,0.0,343.0,26.0,145.0,12.0,12.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,1.0,1.1,2.0,62.0,7.0,3.0,14.8,1.1,1.1,0.9,2.0,1.0,50.0,32.0,6.0,0.7,-0.3,2,1.1,1.6,6.0,38.0,16.0,3.0,52.0,710.0,599.0,7.0,6.0,19,1.0,423.0,28.0,166.0,11.0,12.0,5.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-1,1.0,3.0,1.3,2.7,34.0,4.0,3.0,15.0,1.3,1.3,-0.3,8.0,5.0,62.5,34.0,6.0,2.6,-0.4,0,0.8,0.6,3.0,11.0,1.0,0.0,13.0,425.0,312.0,3.0,6.0,18,1.0,174.0,10.0,44.0,7.0,11.0,5.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,2.0,1.0,0.6,0.2,64.0,6.0,5.0,16.3,0.6,0.6,1.4,2.0,1.0,50.0,37.0,2.0,0.4,-0.6,2,0.6,0.6,6.0,41.0,4.0,1.0,49.0,741.0,646.0,2.0,2.0,18,1.0,410.0,14.0,169.0,3.0,8.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-1,0.0,1.0,0.9,1.3,42.0,11.0,3.0,18.4,0.9,0.9,-0.9,5.0,4.0,80.0,48.0,4.0,1.4,0.4,0,0.7,0.6,7.0,17.0,5.0,3.0,22.0,496.0,411.0,6.0,4.0,19,0.0,239.0,13.0,92.0,10.0,15.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
-1,0.0,1.0,0.7,0.7,56.0,12.0,4.0,15.0,0.7,0.7,-0.7,2.0,1.0,50.0,24.0,6.0,0.3,-0.7,0,0.6,0.7,10.0,41.0,11.0,5.0,50.0,621.0,525.0,9.0,1.0,27,0.0,437.0,21.0,153.0,13.0,9.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,1.0,0.0,1.0,0.4,46.0,6.0,1.0,24.6,1.0,0.3,0.0,2.0,2.0,100.0,43.0,0.0,0.1,0.1,0,0.2,0.4,5.0,24.0,7.0,2.0,40.0,526.0,438.0,3.0,2.0,32,0.0,298.0,14.0,130.0,12.0,11.0,0.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-1,0.0,3.0,1.5,1.8,59.0,13.0,2.0,16.4,1.5,1.5,-1.5,5.0,3.0,40.0,24.0,1.0,1.6,-0.4,0,0.6,0.6,8.0,30.0,4.0,1.0,43.0,588.0,481.0,3.0,10.0,15,0.0,288.0,25.0,153.0,11.0,13.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.0,0.0,0.9,1.8,34.0,9.0,2.0,19.6,0.9,0.9,-0.9,4.0,4.0,100.0,25.0,2.0,0.8,0.8,0,0.7,0.5,6.0,15.0,3.0,0.0,29.0,343.0,236.0,3.0,5.0,21,0.0,184.0,13.0,69.0,8.0,9.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-1,1.0,2.0,1.5,1.8,56.0,13.0,2.0,15.6,1.5,1.5,-0.5,5.0,3.0,60.0,17.0,5.0,1.8,-0.2,1,0.8,1.6,6.0,49.0,15.0,2.0,63.0,557.0,447.0,8.0,4.0,22,0.0,307.0,35.0,219.0,13.0,12.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
